X,Y,item,pagerank,chosen
-60.023075,19.984362,3587 descartes,0.0019737137374243843,1.0
-76.39749,3.2228675,self-defense,0.00011714165125827721,1.0
-43.161476,-39.840023,medical ethics,0.00011714165125827721,1.0
56.579403,15.943034,criticism of religion,0.00011714165125827721,1.0
-6.74511,27.112675,logology (science of science),0.00011714165125827721,1.0
-26.607395,-6.854169,right to die,0.00011714165125827721,0.0
3.8655753,-19.253052,suffering,0.00011714165125827721,0.0
31.575819,-15.083262,solipsism,0.00011714165125827721,0.0
12.853899,-2.3591952,groupthink,0.00011714165125827721,1.0
-0.16975948,72.26541,history of electromagnetism,0.00011714165125827721,1.0
69.93449,-14.005255,propositional logic,0.00011714165125827721,0.0
-43.7456,-9.427143,reproductive rights,0.00011714165125827721,0.0
-3.2878613,33.468445,history of science,0.00011714165125827721,0.0
59.479916,-15.724859,false dilemma,0.00011714165125827721,0.0
47.241783,4.206628,religious fundamentalism,0.00011714165125827721,1.0
26.360817,-27.132883,materialism,0.00011714165125827721,1.0
-7.6778793,-68.217926,cosmopolitanism,0.00011714165125827721,0.0
1.6050342,-46.02625,quality of life,0.00011714165125827721,0.0
-27.477043,31.449286,planned economy,0.00011714165125827721,1.0
-30.756117,-15.594558,right to life,0.00011714165125827721,0.0
16.185326,16.778168,global catastrophic risk,0.00011714165125827721,0.0
12.574101,-43.846294,empathy,0.00054864275249441,0.0
-38.316936,26.624912,c9 league,0.0010620906126077596,0.0
-1.1430043,-64.528244,anti-globalization,0.00019989112053989615,0.0
23.995718,-58.328655,classical liberalism,8.270940367213279e-05,0.0
26.63543,-19.95841,nihilism,8.270940367213279e-05,0.0
9.683179,26.889128,historic recurrence,8.270940367213279e-05,0.0
-0.9808691,-64.11647,movement of movements,0.001527001270008187,0.0
53.606995,29.693806,false god,8.270940367213279e-05,0.0
16.084015,-37.60044,compassion,0.0021589058251308972,0.0
-23.232954,-56.520214,universal declaration of human rights,0.0007743591688825133,0.0
-52.09856,-20.29837,children's rights,0.0012816276394235434,0.0
53.72441,29.606228,ethical monotheism,0.00010355086581937415,0.0
35.54737,-37.44324,bounded rationality,0.00010355086581937415,0.0
-7.5353575,-55.083817,rights,0.00010355086581937415,0.0
52.9135,29.251867,dystheism,0.00010355086581937415,0.0
-16.300459,37.876602,special relativity,0.00010355086581937415,0.0
-21.817894,-68.070816,self-determination,0.00010355086581937415,0.0
-3.5223854,-65.22771,democratic globalization,0.00010355086581937415,0.0
36.85885,-44.17536,utilitarianism,0.00010355086581937415,0.0
43.158627,-39.6248,decision theory,0.00010355086581937415,0.0
-28.496933,54.600864,gravitational wave,0.00010355086581937415,0.0
-38.161804,20.424772,little ivies,0.00016892588787383272,0.0
51.765068,-30.00422,probabilistic reasoning,0.00010355086581937415,0.0
21.918312,-11.016247,perception,0.00018038247624741345,0.0
-52.484947,-4.3431697,bodily integrity,0.0009803124025651974,0.0
-13.240461,-60.756805,social justice,0.0035677805319521997,0.0
52.873764,29.208578,god in abrahamic religions,0.0014981233100802172,0.0
26.227564,30.862852,calvinism,0.007232393947943304,0.0
57.850002,-23.64286,fuzzy logic,0.00023550254603085075,0.0
22.466179,-6.8384724,mind-body problem,0.0005619074707031578,0.0
-41.50705,4.5067983,human population planning,0.0007038263360744718,0.0
-35.470657,-48.78223,health insurance,0.00018468494190015592,0.0
6.957948,51.97403,mechanics of planar particle motion,0.0006472095878406967,0.0
37.483383,18.542072,problem of evil,9.171085436809838e-05,0.0
-15.916169,19.089699,transhumanism,9.171085436809838e-05,0.0
-25.620363,-40.14725,self-ownership,0.0014389968168729327,0.0
70.142204,-14.453508,logical disjunction,9.171085436809838e-05,0.0
-16.875454,70.14933,curvature,0.0005678597464958048,0.0
51.503613,28.47025,misotheism,9.171085436809838e-05,0.0
-9.562582,66.00837,tensor,0.00015766400609257855,0.0
45.130543,26.401142,theistic satanism,0.000388809055171864,0.0
59.551556,29.170982,urmonotheismus,0.00015766400609257855,0.0
-2.9648745,15.801257,invention,9.171085436809838e-05,0.0
26.220425,-7.525607,sentience,0.0003482330842506821,0.0
62.89482,-2.1755576,perspectivism,9.171085436809838e-05,0.0
60.12138,29.736935,deus otiosus,9.171085436809838e-05,0.0
52.95214,29.193748,malevolent god,0.0006743614995262843,0.0
-9.641759,-0.086559385,biocentrism (ethics),9.171085436809838e-05,0.0
-3.4608822,-64.409294,global justice,8.329204448245369e-05,0.0
-24.507372,-1.6424011,assisted suicide,8.329204448245369e-05,0.0
1.7719615,21.297178,multiple discovery,0.00022630289773237027,0.0
57.83151,-1.88273,relativism,8.329204448245369e-05,0.0
-17.044842,11.9620495,appeal to nature,8.329204448245369e-05,0.0
11.821473,-28.926332,weltschmerz,8.329204448245369e-05,0.0
34.024418,-11.675098,eliminative materialism,8.329204448245369e-05,0.0
61.28547,-19.683226,multi-valued logic,8.329204448245369e-05,0.0
39.078964,9.681059,good and evil,0.0007773606829110949,0.0
-22.624615,-36.66595,drug liberalization,8.329204448245369e-05,0.0
-43.102585,-28.53442,medical law,0.00013663572865440477,0.0
-2.7302732,-31.887892,abuse,0.0012080999789283696,0.0
61.948166,-16.191227,principle of bivalence,0.0011333695900960245,0.0
-29.147127,-20.594948,declaration of the rights of man and of the citizen,0.00015525357003378471,0.0
-15.666639,-27.11398,ahimsa,8.329204448245369e-05,0.0
62.281456,-17.062555,anekantavada,8.329204448245369e-05,0.0
-9.652716,65.97002,application of tensor theory in engineering,8.329204448245369e-05,0.0
-47.511703,-40.190517,medical torture,0.0009580815358888547,0.0
23.053944,54.780422,rené descartes,8.329204448245369e-05,0.0
-21.645693,-11.582764,euthanasia,8.329204448245369e-05,0.0
27.09903,13.832749,dystopia,0.0009602821467742953,0.0
7.074076,40.062527,philosophy of space and time,0.00022891133198567852,0.0
12.493288,-62.505928,xenocentrism,0.00013897545469287466,0.0
-12.617874,-43.427498,autonomy,8.329204448245369e-05,0.0
-34.744305,57.672966,anti-gravity,0.0001478729955032817,0.0
-5.2651687,63.117226,continuum mechanics,8.329204448245369e-05,0.0
3.3554363,-26.319485,victimology,0.002810384270808746,0.0
51.838703,29.290346,problem of hell,8.329204448245369e-05,0.0
33.11181,18.595322,karma,0.0006911267609452751,0.0
-21.751467,-41.15974,civil liberties,0.00010766408730368162,0.0
-10.480368,20.01253,great man theory,0.00010766408730368162,0.0
7.422891,-11.54433,pessimism,0.00010766408730368162,0.0
-3.8664656,-65.92601,alter-globalization,0.00010766408730368162,0.0
-9.856196,1.3729739,deep ecology,0.00010766408730368162,0.0
37.73465,12.002917,evil,0.00010766408730368162,0.0
-8.12853,56.9112,ricci calculus,0.00010766408730368162,0.0
37.114227,16.36794,theodicy,0.00010766408730368162,0.0
-14.167116,71.72513,fibre bundle,0.00010766408730368162,0.0
-47.49467,-46.366207,hippocratic oath,0.00010766408730368162,0.0
-4.9464746,-7.445287,wild animal suffering,0.00010766408730368162,0.0
