X,Y,Z,item,pagerank,chosen
-20.998777,7.312794,-0.90977883,3587 descartes,0.0019737137374243843,1.0
-18.008442,0.79953736,8.374337,self-defense,0.00011714165125827721,1.0
-6.6094227,-17.19222,-9.315671,medical ethics,0.00011714165125827721,1.0
18.45666,-1.3861065,-15.985295,criticism of religion,0.00011714165125827721,1.0
-5.268864,6.403435,12.113614,logology (science of science),0.00011714165125827721,1.0
-6.1067066,-5.841919,-12.856815,right to die,0.00011714165125827721,0.0
5.580616,-8.722364,1.8289316,suffering,0.00011714165125827721,0.0
8.687216,0.9360802,7.614554,solipsism,0.00011714165125827721,0.0
2.6410663,2.858243,24.759254,groupthink,0.00011714165125827721,1.0
-9.888577,18.881157,5.7352643,history of electromagnetism,0.00011714165125827721,1.0
21.17221,7.145112,10.669759,propositional logic,0.00011714165125827721,0.0
-11.617913,-1.5084623,-5.12829,reproductive rights,0.00011714165125827721,0.0
-8.431069,12.383802,12.2381735,history of science,0.00011714165125827721,0.0
17.148766,5.4608417,9.890091,false dilemma,0.00011714165125827721,0.0
11.517938,-8.284231,-15.437224,religious fundamentalism,0.00011714165125827721,1.0
11.898584,-9.88101,4.3500385,materialism,0.00011714165125827721,1.0
-6.140933,-16.723795,9.729735,cosmopolitanism,0.00011714165125827721,0.0
6.5915456,-17.586355,9.880821,quality of life,0.00011714165125827721,0.0
-10.371892,6.6189365,-6.062275,planned economy,0.00011714165125827721,1.0
-6.632407,-5.912803,-7.548435,right to life,0.00011714165125827721,0.0
3.2813823,1.7434961,-16.746014,global catastrophic risk,0.00011714165125827721,0.0
7.7432194,-16.886452,-7.399195,empathy,0.00054864275249441,0.0
-8.5444975,8.786412,-15.681156,c9 league,0.0010620906126077596,0.0
-3.139039,-12.320847,10.6846285,anti-globalization,0.00019989112053989615,0.0
-2.009051,-9.839841,19.864258,classical liberalism,8.270940367213279e-05,0.0
14.26058,-7.2567616,-0.7046326,nihilism,8.270940367213279e-05,0.0
-0.69054574,8.287265,17.851456,historic recurrence,8.270940367213279e-05,0.0
-2.8413289,-11.871535,10.495697,movement of movements,0.001527001270008187,0.0
15.156488,3.733526,-7.966178,false god,8.270940367213279e-05,0.0
12.015713,-15.900492,-9.09073,compassion,0.0021589058251308972,0.0
-12.033056,-17.45216,2.2522469,universal declaration of human rights,0.0007743591688825133,0.0
-15.609314,-10.128634,-6.2062807,children's rights,0.0012816276394235434,0.0
15.355685,3.7712646,-7.9894233,ethical monotheism,0.00010355086581937415,0.0
8.541527,-5.553413,10.215295,bounded rationality,0.00010355086581937415,0.0
-3.8268783,-9.831915,3.91215,rights,0.00010355086581937415,0.0
15.262606,3.0550985,-8.553153,dystheism,0.00010355086581937415,0.0
-3.7921193,8.954769,-0.30357936,special relativity,0.00010355086581937415,0.0
-13.564327,-14.382582,8.384838,self-determination,0.00010355086581937415,0.0
-4.4568796,-12.982702,11.422965,democratic globalization,0.00010355086581937415,0.0
9.894524,-6.430117,15.854103,utilitarianism,0.00010355086581937415,0.0
14.116335,-5.0701814,13.665755,decision theory,0.00010355086581937415,0.0
-9.647646,18.119827,-3.7400262,gravitational wave,0.00010355086581937415,0.0
-5.6857686,5.8076286,-18.002981,little ivies,0.00016892588787383272,0.0
10.657583,0.5782472,16.814827,probabilistic reasoning,0.00010355086581937415,0.0
5.5966144,-4.4437885,3.470883,perception,0.00018038247624741345,0.0
-15.019817,-3.9818246,0.6141129,bodily integrity,0.0009803124025651974,0.0
-7.639906,-13.860337,3.8446202,social justice,0.0035677805319521997,0.0
15.07727,3.0744102,-8.486246,god in abrahamic religions,0.0014981233100802172,0.0
7.077573,13.332239,-5.0572186,calvinism,0.007232393947943304,0.0
14.964348,2.1673565,12.800705,fuzzy logic,0.00023550254603085075,0.0
4.0262246,-1.883236,6.9354763,mind-body problem,0.0005619074707031578,0.0
-11.507124,1.2015389,-8.9031315,human population planning,0.0007038263360744718,0.0
-6.524924,-16.26183,-2.4931128,health insurance,0.00018468494190015592,0.0
1.1014562,12.419049,6.2592077,mechanics of planar particle motion,0.0006472095878406967,0.0
10.796353,2.9867995,-7.1963825,problem of evil,9.171085436809838e-05,0.0
-9.577233,5.9301305,3.3993287,transhumanism,9.171085436809838e-05,0.0
-15.722979,-6.172413,10.394956,self-ownership,0.0014389968168729327,0.0
21.651009,7.035218,10.714669,logical disjunction,9.171085436809838e-05,0.0
-1.5031271,24.81132,2.0469697,curvature,0.0005678597464958048,0.0
14.842453,2.2579513,-9.35062,misotheism,9.171085436809838e-05,0.0
-3.1413572,20.648035,3.248794,tensor,0.00015766400609257855,0.0
15.143768,9.786487,-9.642169,theistic satanism,0.000388809055171864,0.0
18.747925,5.7345996,-8.294879,urmonotheismus,0.00015766400609257855,0.0
-11.2467,3.1733143,13.356535,invention,9.171085436809838e-05,0.0
3.8410914,-0.40381214,3.3586252,sentience,0.0003482330842506821,0.0
21.522543,1.7260358,4.7878327,perspectivism,9.171085436809838e-05,0.0
19.438763,5.235713,-8.601851,deus otiosus,9.171085436809838e-05,0.0
15.167016,3.0994923,-8.495972,malevolent god,0.0006743614995262843,0.0
-5.655022,-1.6758224,3.689956,biocentrism (ethics),9.171085436809838e-05,0.0
-4.4149814,-11.473957,10.805595,global justice,8.329204448245369e-05,0.0
-3.1403759,-5.850897,-16.237753,assisted suicide,8.329204448245369e-05,0.0
-7.497293,4.1215243,16.360844,multiple discovery,0.00022630289773237027,0.0
21.433659,-0.56292963,8.25955,relativism,8.329204448245369e-05,0.0
-12.791899,1.4095415,1.8197156,appeal to nature,8.329204448245369e-05,0.0
9.389733,-10.195083,-4.126262,weltschmerz,8.329204448245369e-05,0.0
9.681005,0.8479569,4.9107995,eliminative materialism,8.329204448245369e-05,0.0
17.707253,3.2165194,10.976809,multi-valued logic,8.329204448245369e-05,0.0
11.753306,-3.4557443,-8.773502,good and evil,0.0007773606829110949,0.0
-13.332548,-5.279673,5.785668,drug liberalization,8.329204448245369e-05,0.0
-10.001363,-12.717981,-8.350047,medical law,0.00013663572865440477,0.0
5.8912926,-19.273876,-0.45266777,abuse,0.0012080999789283696,0.0
18.42974,4.9320745,9.782124,principle of bivalence,0.0011333695900960245,0.0
-3.2150812,-4.053423,9.2497,declaration of the rights of man and of the citizen,0.00015525357003378471,0.0
-5.863795,-6.4687967,-0.6227559,ahimsa,8.329204448245369e-05,0.0
18.939734,4.0600233,9.670824,anekantavada,8.329204448245369e-05,0.0
-3.2416728,20.634567,3.2547758,application of tensor theory in engineering,8.329204448245369e-05,0.0
-8.726664,-19.503271,-9.369735,medical torture,0.0009580815358888547,0.0
5.46466,11.977182,10.290183,rené descartes,8.329204448245369e-05,0.0
-1.9474981,-6.5332475,-10.355768,euthanasia,8.329204448245369e-05,0.0
6.1056166,-1.1196244,-7.9846253,dystopia,0.0009602821467742953,0.0
-0.5679233,6.305693,-0.09606877,philosophy of space and time,0.00022891133198567852,0.0
-4.520907,-5.2461224,15.329589,xenocentrism,0.00013897545469287466,0.0
-1.1010689,-19.651558,6.3904777,autonomy,8.329204448245369e-05,0.0
-11.150698,20.651333,-6.2616363,anti-gravity,0.0001478729955032817,0.0
-0.47592935,18.451553,3.434131,continuum mechanics,8.329204448245369e-05,0.0
11.921287,-16.61176,0.80314654,victimology,0.002810384270808746,0.0
14.297201,2.7724903,-8.329308,problem of hell,8.329204448245369e-05,0.0
6.3527026,1.9355172,-4.615671,karma,0.0006911267609452751,0.0
-13.423763,-7.732309,8.955275,civil liberties,0.00010766408730368162,0.0
-11.180521,-0.37113705,19.060259,great man theory,0.00010766408730368162,0.0
5.47741,-4.149656,-4.8938246,pessimism,0.00010766408730368162,0.0
-5.0450788,-12.815697,10.338349,alter-globalization,0.00010766408730368162,0.0
-6.2617908,0.8363653,2.911891,deep ecology,0.00010766408730368162,0.0
10.165125,-1.3474182,-8.814341,evil,0.00010766408730368162,0.0
0.9036923,20.291939,-0.102146745,ricci calculus,0.00010766408730368162,0.0
13.311868,2.6093774,-9.027185,theodicy,0.00010766408730368162,0.0
-3.160482,24.30806,3.7370603,fibre bundle,0.00010766408730368162,0.0
-7.1082425,-21.233238,-6.852049,hippocratic oath,0.00010766408730368162,0.0
-1.7715768,-1.8729504,-0.84408057,wild animal suffering,0.00010766408730368162,0.0
8.382249,7.169276,10.646517,circular reasoning,0.00010766408730368162,0.0
18.906738,4.1608267,9.653292,syādvāda,0.00010766408730368162,0.0
6.770677,22.608568,3.337037,cartesian product,0.00010766408730368162,0.0
-6.9685493,-0.3777518,6.2803326,speciesism,0.00010766408730368162,0.0
-12.888565,-10.281282,3.9284418,human rights,0.00010766408730368162,0.0
5.3154,12.386094,-5.77058,fatalism,0.00010766408730368162,0.0
-4.4571624,-15.390072,12.752755,global citizenship,0.00010766408730368162,0.0
11.654072,-2.5334818,17.112255,uncertainty,0.00017128331128092442,0.0
1.6436304,-20.938578,-0.19298062,human trafficking,0.00010766408730368162,0.0
2.0681934,-21.072927,5.6807747,human dignity,0.00010766408730368162,0.0
15.403537,-1.12643,3.9608753,free will,0.00010766408730368162,0.0
-8.65579,-21.634151,-9.073263,nuremberg code,0.00010766408730368162,0.0
-1.0480609,8.705473,-9.009617,sigmund freud,0.00010766408730368162,0.0
-7.686108,6.7582254,5.449537,fringe science,0.00010766408730368162,0.0
-5.877474,-10.179143,-11.375266,bioethics,0.00010766408730368162,0.0
-5.053179,-1.073601,-3.6663222,antinatalism,0.00010766408730368162,0.0
17.3634,4.975937,11.845736,degrees of truth,0.00010766408730368162,0.0
6.3023443,3.5881035,7.0854397,vertiginous question,0.00010766408730368162,0.0
-14.2344265,-5.493429,-6.2454953,fetal rights,0.00010766408730368162,0.0
-0.9843466,1.1101398,-9.956753,philosophy of suicide,0.00010766408730368162,0.0
-7.3457766,8.171214,-17.345146,golden triangle (universities),0.00010766408730368162,0.0
8.638347,12.177067,-15.976349,purgatory,0.00010766408730368162,0.0
9.825829,6.148459,11.861142,logical value,0.00010766408730368162,0.0
8.469431,-18.81892,1.3060348,psychological abuse,0.00010766408730368162,0.0
18.041285,5.03214,9.126237,contextualism,0.00010766408730368162,0.0
-3.276177,-3.9942553,12.643517,cultural relativism,0.00010766408730368162,0.0
-0.40305614,2.3933268,8.806972,existential risk from artificial general intelligence,0.0005884986123700671,0.0
20.91631,7.324172,10.26058,exclusive disjunction,0.00020249777079316041,0.0
-9.839418,-15.879167,-8.087058,patient abuse,0.0015247489114187784,0.0
-12.50457,-5.223786,-4.3743453,abortion debate,0.0014789928274391675,0.0
